id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
233205,2016,0,2016,2016,3,469,Government of Kenya - Civilians,936,Government of Kenya - Civilians,91,501.0,Government of Kenya,1,,Civilians,5,"""Xinhua News Agency,2016-05-23,1st LD Writethru: One dead, scores injured in anti-electoral body's protests in Kenya"";""Agence France Presse,2016-05-23,At least one killed in Kenya protests"";""Reuters News,2016-05-23,One dead as Kenyans clash with police in protest over election panel"";""Reuters News,2016-05-24,Nine men charged after protest clashes in Kenya"";""All Africa,2016-06-21,Police Killings During Protests [analysis]""",Xinhua News Agency;Agence France Presse;Reuters News;Reuters News;All Africa,2016-05-23;2016-05-23;2016-05-23;2016-05-24;2016-06-21,"1st LD Writethru: One dead, scores injured in anti-electoral body's protests in Kenya;At least one killed in Kenya protests;One dead as Kenyans clash with police in protest over election panel;Nine men charged after protest clashes in Kenya;Police Killings During Protests [analysis]","witnesses/local media; Willy Lugusa, the regional police commander; Sam Oula, a doctor at the hospital",1,Kisumu town,Kisumu county,Kisumu Central Constituency,-0.1,34.75,POINT (34.750000 -0.100000),129310,Kenya,501,KEN,Africa,1,1,2016-05-23,2016-05-23,0,0,1,0,0,1,1
233207,2016,0,2016,2016,3,469,Government of Kenya - Civilians,936,Government of Kenya - Civilians,91,501.0,Government of Kenya,1,,Civilians,5,"""Dow Jones Institutional News,2016-05-23,At Least Two Die in Kenya Protests"";""Xinhua News Agency,2016-05-23,Roundup: 3 Kenyan opposition supporters killed, scores injured in poll protests"";""Agence France Presse,2016-05-24,Three dead in Kenya protests: police"";""Reuters News,2016-05-24,Nine men charged after protest clashes in Kenya"";""All Africa,2016-06-21,Police Killings During Protests [analysis]""",Dow Jones Institutional News;Xinhua News Agency;Agence France Presse;Reuters News;All Africa,2016-05-23;2016-05-23;2016-05-24;2016-05-24;2016-06-21,"At Least Two Die in Kenya Protests;Roundup: 3 Kenyan opposition supporters killed, scores injured in poll protests;Three dead in Kenya protests: police;Nine men charged after protest clashes in Kenya;Police Killings During Protests [analysis]","Bonny Odinga, the county's communications director; police; HRW",1,Siaya town,Siaya county,Bondo Constituency,0.061158,34.288234,POINT (34.288234 0.061158),130029,Kenya,501,KEN,Africa,1,1,2016-05-23,2016-05-23,0,0,2,0,0,2,2
241736,2017,0,2017,2017,2,4767,Marakwet - Pokot,5377,Marakwet - Pokot,929,,Marakwet,670,,Pokot,1,"""The Star (Kenya),2017-09-08,Fear after armed raiders shoot dead two pupils in West Pokot""",The Star (Kenya),2017-09-08,Fear after armed raiders shoot dead two pupils in West Pokot,,3,Marakwet East Constituency,Elgeyo Marakwet county,Marakwet East Constituency,1.151716,35.57635,POINT (35.576350 1.151716),131472,Kenya,501,KEN,Africa,1,1,2017-09-06,2017-09-06,1,0,0,0,1,1,1
233211,2016,1,2016,2016,3,604,Al-Shabaab - Civilians,1071,Al-Shabaab - Civilians,717,,Al-Shabaab,1,,Civilians,4,"""Xinhua News Agency,2016-05-29,Suspected Al-Shabaab returnees kill 3 Kenyans in the coast"";""Xinhua News Agency,2016-05-29,Kenyan police arrest 4 over shooting in coastal region"";""Reuters News,2016-05-30,Suspected al Shabaab fighters kill 3 village elders in Kenya - police"";""All Africa,2016-05-31,Police Release Photos of 8 Wanted Criminals at the Coast""",Xinhua News Agency;Xinhua News Agency;Reuters News;All Africa,2016-05-29;2016-05-29;2016-05-30;2016-05-31,Suspected Al-Shabaab returnees kill 3 Kenyans in the coast;Kenyan police arrest 4 over shooting in coastal region;Suspected al Shabaab fighters kill 3 village elders in Kenya - police;Police Release Photos of 8 Wanted Criminals at the Coast,Regional police commander Francis Wanjohi,2,Bongwe village,Kwale county,Msambweni Constituency,-4.287222,39.553055,POINT (39.553055 -4.287222),123560,Kenya,501,KEN,Africa,1,1,2016-05-29,2016-05-29,0,0,0,0,0,0,4
233258,2016,0,2016,2016,3,469,Government of Kenya - Civilians,936,Government of Kenya - Civilians,91,501.0,Government of Kenya,1,,Civilians,7,"""Reuters News,2016-06-06,Opposition says two protesters shot dead in west Kenya"";""Agence France Presse,2016-06-06,One killed, 6 hurt in Kenya protests: witnesses"";""Reuters News,2016-06-06,At least one killed in Kenya in protest over vote body"";""Agence France Presse,2016-06-06,Two shot dead as Kenyan protests turn violent"";""Xinhua News Agency,2016-06-06,Roundup: One killed, over 20 injured in Kenya opposition protests"";""All Africa,2016-06-07,At Least Two Dead in Kisumu Anti-IEBC Demo"";""All Africa,2016-06-21,Police Killings During Protests [analysis]""",Reuters News;Agence France Presse;Reuters News;Agence France Presse;Xinhua News Agency;All Africa;All Africa,2016-06-06;2016-06-06;2016-06-06;2016-06-06;2016-06-06;2016-06-07;2016-06-21,"Opposition says two protesters shot dead in west Kenya;One killed, 6 hurt in Kenya protests: witnesses;At least one killed in Kenya in protest over vote body;Two shot dead as Kenyan protests turn violent;Roundup: One killed, over 20 injured in Kenya opposition protests;At Least Two Dead in Kisumu Anti-IEBC Demo;Police Killings During Protests [analysis]","Dennis Onyango, spokesman for opposition leader Raila Odinga; witnesses; HRW",1,Kisumu town,Kisumu county,Kisumu Central Constituency,-0.1,34.75,POINT (34.750000 -0.100000),129310,Kenya,501,KEN,Africa,1,1,2016-06-06,2016-06-06,0,0,2,0,2,2,2
234327,2016,0,2016,2016,2,5038,Orma - Pokomo,5648,Orma - Pokomo,931,,Orma,933,,Pokomo,1,"""Coastweek,2016-06-16,Nine killed during inter-community clashes in Tana River district""",Coastweek,2016-06-16,Nine killed during inter-community clashes in Tana River district,Coast Regional Coordinator Samuel Kilele,4,Tana River county,Tana River county,,-1.533333,39.416667,POINT (39.416667 -1.533333),127159,Kenya,501,KEN,Africa,2,4,2016-06-09,2016-06-16,0,0,0,9,9,9,9
234483,2016,1,2016,2016,2,4767,Marakwet - Pokot,5377,Marakwet - Pokot,929,,Marakwet,670,,Pokot,1,"""The Star (Kenya),2016-06-21,Governor Tolgos accuses Tiaty MP Kamama of funding rustlers, bandits""",The Star (Kenya),2016-06-21,"Governor Tolgos accuses Tiaty MP Kamama of funding rustlers, bandits","area Governor Alex Tolgos/
Area deputy county commissioner Eric Muluvu",5,Kerio Valley,Baringo county,Tiaty Constituency,1.062019,35.65748,POINT (35.657480 1.062019),131472,Kenya,501,KEN,Africa,1,1,2016-06-19,2016-06-19,0,0,0,1,1,1,1
234481,2016,1,2016,2016,2,4767,Marakwet - Pokot,5377,Marakwet - Pokot,929,,Marakwet,670,,Pokot,1,"""The Star (Kenya),2016-06-21,Governor Tolgos accuses Tiaty MP Kamama of funding rustlers, bandits""",The Star (Kenya),2016-06-21,"Governor Tolgos accuses Tiaty MP Kamama of funding rustlers, bandits","area Governor Alex Tolgos/
Area deputy county commissioner Eric Muluvu",3,Marakwet East Constituency,Elgeyo Marakwet county,Marakwet East Constituency,1.151716,35.57635,POINT (35.576350 1.151716),131472,Kenya,501,KEN,Africa,1,1,2016-06-20,2016-06-20,0,0,0,1,1,1,1
233260,2016,1,2016,2016,1,13646,Kenya: Northeastern Province and Coast,10589,Government of Kenya - Al-Shabaab,91,501.0,Government of Kenya,717,,Al-Shabaab,1,"""Xinhua News Agency,2016-06-20,Kenyan police foil attack, kill Al-Shabaab militant in coastal town""",Xinhua News Agency,2016-06-20,"Kenyan police foil attack, kill Al-Shabaab militant in coastal town","Regional police commander, Francis Wanjohi",1,Kwale town,Kwale county,Matuga Constituency,-4.173748,39.452063,POINT (39.452063 -4.173748),123559,Kenya,501,KEN,Africa,1,1,2016-06-20,2016-06-20,0,1,0,0,1,1,1
233259,2016,1,2016,2016,1,13646,Kenya: Northeastern Province and Coast,10589,Government of Kenya - Al-Shabaab,91,501.0,Government of Kenya,717,,Al-Shabaab,4,"""Agence France Presse,2016-06-20,Shabaab kill five Kenyan police: governor"";""Xinhua News Agency,2016-06-20,Five Kenyan policemen feared dead in suspected Al-Shabaab ambush"";""Reuters News,2016-06-20,Somali militants kill five police in north Kenya"";""Xinhua News Agency,2016-06-20,1st LD Writethru-Roundup: Suspected Al-Shabaab militants kill 5 policemen in NE Kenya""",Agence France Presse;Xinhua News Agency;Reuters News;Xinhua News Agency,2016-06-20;2016-06-20;2016-06-20;2016-06-20,Shabaab kill five Kenyan police: governor;Five Kenyan policemen feared dead in suspected Al-Shabaab ambush;Somali militants kill five police in north Kenya;1st LD Writethru-Roundup: Suspected Al-Shabaab militants kill 5 policemen in NE Kenya,"Mandera governor Ali Roba; Al Shabaab military operations spokesman Sheikh Abdiasis Abu Musab; Mandera County Police Commander, Job Boronjo",2,El Wak town,Mandera county,Banisa Constituency,2.811916,40.92966,POINT (40.929660 2.811916),133642,Kenya,501,KEN,Africa,1,1,2016-06-20,2016-06-20,5,0,0,0,5,5,5
